date,global warming
2018-04-11,53
2018-04-12,59
2018-04-13,40
2018-04-14,29
2018-04-15,43
2018-04-16,65
2018-04-17,63
2018-04-18,72
2018-04-19,72
2018-04-20,47
2018-04-21,38
2018-04-22,40
2018-04-23,65
2018-04-24,65
2018-04-25,57
2018-04-26,69
2018-04-27,50
2018-04-28,29
2018-04-29,35
2018-04-30,64
2018-05-01,60
2018-05-02,57
2018-05-03,72
2018-05-04,53
2018-05-05,31
2018-05-06,43
2018-05-07,60
2018-05-08,61
2018-05-09,64
2018-05-10,63
2018-05-11,52
2018-05-12,33
2018-05-13,42
2018-05-14,60
2018-05-15,65
2018-05-16,66
2018-05-17,80
2018-05-18,61
2018-05-19,32
2018-05-20,39
2018-05-21,69
2018-05-22,61
2018-05-23,65
2018-05-24,53
2018-05-25,47
2018-05-26,34
2018-05-27,23
2018-05-28,48
2018-05-29,46
2018-05-30,58
2018-05-31,51
2018-06-01,49
2018-06-02,38
2018-06-03,46
2018-06-04,46
2018-06-05,54
2018-06-06,48
2018-06-07,57
2018-06-08,37
2018-06-09,28
2018-06-10,34
2018-06-11,37
2018-06-12,61
2018-06-13,43
2018-06-14,36
2018-06-15,32
2018-06-16,21
2018-06-17,29
2018-06-18,35
2018-06-19,37
2018-06-20,45
2018-06-21,30
2018-06-22,36
2018-06-23,40
2018-06-24,39
2018-06-25,35
2018-06-26,34
2018-06-27,48
2018-06-28,37
2018-06-29,30
2018-06-30,33
2018-07-01,31
2018-07-02,38
2018-07-03,35
2018-07-04,41
2018-07-05,38
2018-07-06,37
2018-07-07,42
2018-07-08,46
2018-07-09,35
2018-07-10,41
2018-07-11,34
2018-07-12,39
2018-07-13,21
2018-07-14,26
2018-07-15,42
2018-07-16,27
2018-07-17,35
2018-07-18,40
2018-07-19,40
2018-07-20,34
2018-07-21,36
2018-07-22,33
2018-07-23,38
2018-07-24,37
2018-07-25,49
2018-07-26,44
2018-07-27,39
2018-07-28,26
2018-07-29,44
2018-07-30,43
2018-07-31,41
2018-08-01,43
2018-08-02,47
2018-08-03,46
2018-08-04,33
2018-08-05,45
2018-08-06,51
2018-08-07,48
2018-08-08,54
2018-08-09,41
2018-08-10,37
2018-08-11,37
2018-08-12,32
2018-08-13,43
2018-08-14,39
2018-08-15,41
2018-08-16,43
2018-08-17,33
2018-08-18,27
2018-08-19,43
2018-08-20,35
2018-08-21,38
2018-08-22,39
2018-08-23,44
2018-08-24,41
2018-08-25,34
2018-08-26,35
2018-08-27,48
2018-08-28,46
2018-08-29,50
2018-08-30,36
2018-08-31,36
2018-09-01,32
2018-09-02,36
