date,oil
2018-09-17,85
2018-09-18,85
2018-09-19,87
2018-09-20,88
2018-09-21,81
2018-09-22,88
2018-09-23,87
2018-09-24,89
2018-09-25,89
2018-09-26,88
2018-09-27,84
2018-09-28,84
2018-09-29,87
2018-09-30,87
2018-10-01,90
2018-10-02,88
2018-10-03,87
2018-10-04,87
2018-10-05,89
2018-10-06,90
2018-10-07,84
2018-10-08,90
2018-10-09,89
2018-10-10,87
2018-10-11,88
2018-10-12,90
2018-10-13,89
2018-10-14,85
2018-10-15,92
2018-10-16,87
2018-10-17,89
2018-10-18,90
2018-10-19,87
2018-10-20,89
2018-10-21,89
2018-10-22,90
2018-10-23,86
2018-10-24,87
2018-10-25,85
2018-10-26,87
2018-10-27,87
2018-10-28,84
2018-10-29,90
2018-10-30,87
2018-10-31,85
2018-11-01,88
2018-11-02,88
2018-11-03,92
2018-11-04,91
2018-11-05,90
2018-11-06,84
2018-11-07,83
2018-11-08,88
2018-11-09,90
2018-11-10,93
2018-11-11,91
2018-11-12,95
2018-11-13,95
2018-11-14,96
2018-11-15,93
2018-11-16,91
2018-11-17,95
2018-11-18,94
2018-11-19,92
2018-11-20,96
2018-11-21,97
2018-11-22,85
2018-11-23,91
2018-11-24,92
2018-11-25,92
2018-11-26,93
2018-11-27,92
2018-11-28,89
2018-11-29,92
2018-11-30,91
2018-12-01,91
2018-12-02,91
2018-12-03,94
2018-12-04,90
2018-12-05,91
2018-12-06,91
2018-12-07,90
2018-12-08,89
2018-12-09,89
2018-12-10,91
2018-12-11,91
2018-12-12,90
2018-12-13,88
2018-12-14,89
2018-12-15,89
2018-12-16,89
2018-12-17,90
2018-12-18,94
2018-12-19,93
2018-12-20,96
2018-12-21,90
2018-12-22,92
2018-12-23,88
2018-12-24,91
2018-12-25,76
2018-12-26,89
2018-12-27,97
2018-12-28,100
2018-12-29,94
2018-12-30,90
2018-12-31,91
2019-01-01,81
2019-01-02,92
2019-01-03,93
2019-01-04,97
2019-01-05,100
2019-01-06,95
2019-01-07,93
2019-01-08,94
2019-01-09,93
2019-01-10,94
2019-01-11,91
2019-01-12,95
2019-01-13,89
2019-01-14,92
2019-01-15,89
2019-01-16,91
2019-01-17,89
2019-01-18,92
2019-01-19,93
2019-01-20,91
2019-01-21,91
2019-01-22,91
