date,greenhouse gas
2017-08-29,13.0
2017-08-30,11.0
2017-08-31,22.0
2017-09-01,19.0
2017-09-02,11.0
2017-09-03,8.0
2017-09-04,5.0
2017-09-05,14.0
2017-09-06,18.0
2017-09-07,25.0
2017-09-08,13.0
2017-09-09,12.0
2017-09-10,18.0
2017-09-11,19.0
2017-09-12,30.0
2017-09-13,32.0
2017-09-14,18.0
2017-09-15,22.0
2017-09-16,15.0
2017-09-17,22.0
2017-09-18,21.0
2017-09-19,34.0
2017-09-20,19.0
2017-09-21,14.0
2017-09-22,9.0
2017-09-23,12.0
2017-09-24,10.0
2017-09-25,32.0
2017-09-26,21.0
2017-09-27,25.0
2017-09-28,27.0
2017-09-29,15.0
2017-09-30,6.0
2017-10-01,6.0
2017-10-02,16.0
2017-10-03,21.0
2017-10-04,28.0
2017-10-05,5.0
2017-10-06,17.0
2017-10-07,18.0
2017-10-08,14.0
2017-10-09,12.0
2017-10-10,26.0
2017-10-11,26.0
2017-10-12,29.0
2017-10-13,15.0
2017-10-14,18.0
2017-10-15,22.0
2017-10-16,26.0
2017-10-17,16.0
2017-10-18,28.0
2017-10-19,25.0
2017-10-20,20.0
2017-10-21,10.0
2017-10-22,22.0
2017-10-23,14.0
2017-10-24,24.0
2017-10-25,49.0
2017-10-26,28.0
2017-10-27,18.0
2017-10-28,16.0
2017-10-29,18.0
2017-10-30,24.0
2017-10-31,21.0
2017-11-01,27.0
2017-11-02,21.0
2017-11-03,29.0
2017-11-04,12.0
2017-11-05,8.0
2017-12-14,18.0
2017-12-15,32.0
2017-12-16,14.0
2017-12-17,17.0
2017-12-18,22.0
2017-12-19,15.0
2017-12-20,18.0
2017-12-21,12.0
2017-12-22,9.0
2017-12-23,2.0
2017-12-24,4.0
2017-12-25,2.0
2017-12-26,4.0
2017-12-27,6.0
2017-12-28,9.0
2017-12-29,8.0
2017-12-30,6.0
2017-12-31,12.0
2018-01-01,6.0
2018-01-02,8.0
2018-01-03,13.0
2018-01-04,13.0
2018-01-05,13.0
2018-01-06,8.0
2018-01-07,15.0
2018-01-08,14.0
2018-01-09,16.0
2018-01-10,3.0
2018-01-11,18.0
2018-01-12,18.0
2018-01-13,6.0
2018-01-14,14.0
2018-01-15,14.0
2018-01-16,33.0
2018-01-17,22.0
2018-01-18,30.0
2018-01-19,18.0
2018-01-20,14.0
2018-01-21,12.0
2018-01-22,25.0
2018-01-23,20.0
2018-01-24,24.0
2018-01-25,22.0
2018-01-26,12.0
2018-01-27,14.0
2018-01-28,14.0
2018-01-29,12.0
2018-01-30,26.0
2018-01-31,22.0
2018-02-01,16.0
2018-02-02,23.0
2018-02-03,11.0
2018-02-04,12.0
2018-02-05,19.0
2018-02-06,33.0
2018-02-07,24.0
2018-02-08,18.0
2018-02-09,8.0
2018-02-10,11.0
2018-02-11,26.0
2018-02-12,18.0
2018-02-13,24.0
2018-02-14,24.0
2018-02-15,21.0
2018-02-16,22.0
2018-02-17,13.0
2018-02-18,14.0
2018-02-19,14.0
2018-02-20,22.0
2018-02-21,32.0
2018-02-22,30.0
2018-02-23,12.0
2018-02-24,11.0
2018-02-25,18.0
2018-02-26,29.0
2018-02-27,20.0
2018-02-28,32.0
2018-03-01,18.0
2018-03-02,22.0
2018-03-03,14.0
2018-03-04,14.0
2018-03-05,26.0
2018-03-06,36.0
2018-03-07,34.0
2018-03-08,30.0
2018-03-09,16.0
2018-03-10,7.0
2018-03-11,16.0
2018-03-12,31.0
2018-03-13,28.0
2018-03-14,34.0
2018-03-15,30.0
2018-03-16,21.0
2018-03-17,7.0
2018-03-18,18.0
2018-03-19,34.0
2018-03-20,20.0
2018-03-21,22.0
2018-03-22,24.0
2018-03-23,28.0
2018-03-24,14.0
2018-03-25,20.0
2018-03-26,30.0
2018-03-27,20.0
2018-03-28,24.0
2018-03-29,26.0
2018-03-30,18.0
2018-03-31,10.0
2018-04-01,17.0
2018-04-02,10.0
2018-04-03,19.0
2018-04-04,25.0
2018-04-05,21.0
2018-04-06,23.0
2018-04-07,14.0
2018-04-08,14.0
2018-04-09,28.0
2018-04-10,12.0
2018-04-11,36.0
2018-04-12,27.0
2018-04-13,25.0
2018-04-14,11.0
2018-04-15,14.0
2018-04-16,30.0
2018-04-17,32.0
2018-04-18,24.0
2018-04-19,32.0
2018-04-20,16.0
2018-04-21,11.0
2018-04-22,16.0
2018-04-23,38.0
2018-04-24,26.0
2018-04-25,20.0
2018-04-26,32.0
2018-04-27,20.0
2018-04-28,34.0
2018-04-29,13.0
2018-04-30,31.0
2018-05-01,50.0
2018-05-02,39.0
2018-05-03,27.0
2018-05-04,30.0
2018-05-05,17.0
2018-05-06,16.0
2018-05-07,35.0
2018-05-08,34.0
2018-05-09,40.0
2018-05-10,26.0
2018-05-11,26.0
2018-05-12,15.0
2018-05-13,6.0
2018-05-14,22.0
2018-05-15,23.0
2018-05-16,24.0
2018-05-17,27.0
2018-05-18,22.0
2018-05-19,14.0
2018-05-20,22.0
2018-05-21,18.0
2018-05-22,26.0
2018-05-23,34.0
2018-05-24,24.0
2018-07-02,11.0
2018-07-03,11.0
2018-07-04,20.0
2018-07-05,16.0
2018-07-06,18.0
2018-07-07,12.0
2018-07-08,16.0
2018-07-09,24.0
2018-07-10,12.0
2018-07-11,16.0
2018-07-12,20.0
2018-07-13,15.0
2018-07-14,6.0
2018-07-15,8.0
2018-07-16,4.0
2018-07-17,5.0
2018-07-18,22.0
2018-07-19,9.0
2018-07-20,4.0
2018-07-21,11.0
2018-07-22,11.0
2018-07-23,20.0
2018-07-24,21.0
2018-07-25,20.0
2018-07-26,14.0
2018-07-27,9.0
2018-07-28,10.0
2018-07-29,19.0
2018-07-30,20.0
2018-07-31,5.0
2018-08-01,18.0
2018-08-02,15.0
2018-08-03,17.0
2018-08-04,2.0
2018-08-05,18.0
2018-08-06,19.0
2018-08-07,7.0
2018-08-08,14.0
2018-08-09,26.0
2018-08-10,4.0
2018-08-11,2.0
2018-08-12,10.0
2018-08-13,9.0
2018-08-14,26.0
2018-08-15,11.0
2018-08-16,16.0
2018-08-17,16.0
2018-08-18,6.0
2018-08-19,17.0
2018-08-20,20.0
2018-08-21,27.0
2018-08-22,15.0
2018-08-23,13.0
2018-08-24,11.0
2018-08-25,4.0
2018-08-26,10.0
2018-08-27,5.0
2018-08-28,23.0
2018-08-29,7.0
2018-08-30,9.0
2018-08-31,13.0
2018-09-01,4.0
2018-09-02,12.0
2018-09-03,20.0
2018-09-04,14.0
2018-09-05,19.0
2018-09-06,17.0
2018-09-07,16.0
2018-09-08,12.0
2018-09-09,29.0
2018-09-10,40.0
2018-09-11,29.0
2018-09-12,12.0
2018-09-13,10.0
2018-09-14,23.0
2018-09-15,8.0
2018-09-16,26.0
2018-09-17,26.0
2018-09-18,31.0
2018-09-19,12.0
2018-09-20,26.0
2018-09-21,14.0
2018-09-22,8.0
2018-09-23,20.0
2018-09-24,34.0
2018-09-25,36.0
2018-09-26,17.0
2018-09-27,24.0
2018-09-28,25.0
2018-09-29,20.0
2018-09-30,16.0
2018-10-01,19.0
2018-10-02,24.0
2018-10-03,24.0
2018-10-04,26.0
2018-10-05,26.0
2018-10-06,14.0
2018-10-07,18.0
2018-10-08,31.0
2018-10-09,37.0
2018-10-10,32.0
2018-10-11,37.0
2018-10-12,32.0
2018-10-13,23.0
2018-10-14,28.0
2018-10-15,18.0
2018-10-16,28.0
2018-10-17,28.0
2018-10-18,36.0
2018-10-19,13.0
2018-10-20,10.0
2018-10-21,20.0
2018-10-22,35.0
2018-10-23,29.0
2018-10-24,35.0
2018-10-25,37.0
2018-10-26,26.0
2018-10-27,23.0
2018-10-28,18.0
2018-10-29,41.0
2018-10-30,26.0
2018-10-31,39.0
2018-11-01,26.0
2018-11-02,28.0
2018-11-03,35.0
2018-11-04,25.0
2018-11-05,38.0
2018-11-06,31.0
2018-11-07,27.0
2018-11-08,38.0
2018-11-09,25.0
2018-11-10,24.0
2018-11-11,29.0
2018-11-12,37.0
2018-11-13,33.0
2018-11-14,30.0
2018-11-15,34.0
2018-11-16,20.0
2018-11-17,14.0
2018-11-18,46.0
2018-11-19,100.0
2018-11-20,26.0
2018-11-21,39.0
2018-11-22,25.0
2018-11-23,23.0
2018-11-24,18.0
2018-11-25,26.0
2018-11-26,25.0
2018-11-27,53.0
2018-11-28,17.0
2018-11-29,42.0
2018-11-30,21.0
2018-12-01,12.0
2018-12-02,31.0
2018-12-03,49.0
2018-12-04,33.0
2018-12-05,36.0
2018-12-06,39.0
2018-12-07,36.0
2018-12-08,20.0
2018-12-09,30.0
2018-12-10,35.0
2019-01-18,10.0
2019-01-19,2.0
2019-01-20,6.0
2019-01-21,11.0
2019-01-22,13.0
2019-01-23,12.0
2019-01-24,14.0
2019-01-25,14.0
2019-01-26,8.0
2019-01-27,12.0
2019-01-28,9.0
2019-01-29,7.0
2019-01-30,5.0
2019-01-31,10.0
2019-02-01,11.0
2019-02-02,7.0
2019-02-03,13.0
2019-02-04,11.0
2019-02-05,10.0
2019-02-06,17.0
2019-02-07,11.0
2019-02-08,12.0
2019-02-09,6.0
2019-02-10,5.0
2019-02-11,11.0
2019-02-12,10.0
2019-02-13,12.0
2019-02-14,9.0
2019-02-15,12.0
2019-02-16,10.0
2019-02-17,6.0
2019-02-18,8.0
2019-02-19,11.0
2019-02-20,18.0
2019-02-21,5.0
2019-02-22,10.0
2019-02-23,6.0
2019-02-24,12.0
2019-02-25,14.0
2019-02-26,17.0
2019-02-27,13.0
2019-02-28,19.0
2019-03-01,16.0
2019-03-02,3.0
2019-03-03,9.0
2019-03-04,19.0
2019-03-05,18.0
2019-03-06,12.0
2019-03-07,14.0
2019-03-08,14.0
2019-03-09,5.0
2019-03-10,13.0
2019-03-11,17.0
2019-03-12,14.0
2019-03-13,14.0
2019-03-14,13.0
2019-03-15,9.0
2019-03-16,4.0
2019-03-17,10.0
2019-03-18,14.0
2019-03-19,12.0
2019-03-20,13.0
2019-03-21,11.0
2019-03-22,14.0
2019-03-23,5.0
2019-03-24,8.0
2019-03-25,15.0
2019-03-26,14.0
2019-03-27,12.0
2019-03-28,13.0
2019-03-29,14.0
2019-03-30,8.0
2019-03-31,13.0
2019-04-01,13.0
2019-04-02,14.0
2019-04-03,13.0
2019-04-04,18.0
2019-04-05,6.0
2019-04-06,10.0
2019-04-07,13.0
2019-04-08,9.0
2019-04-09,14.0
2019-04-10,19.0
2019-04-11,14.0
2019-04-12,11.0
2019-04-13,6.0
2019-04-14,11.0
2019-04-15,17.0
2019-04-16,13.0
2019-04-17,15.0
2019-04-18,14.0
2019-04-19,11.0
2019-04-20,7.0
2019-04-21,6.0
